Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/d6a982d7-e63f-47e9-b588-157c0c790475.jpg?v=1774983496,11,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/2bcdbd91-f05b-473f-8801-f4e06ef2de21.jpg?v=1774983496,12,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/s-l1600_2.webp?v=1774983496,13,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/s-l1600_5.webp?v=1774983496,14,"",,,,,,,,
series-10-apple-logo-with-megnatic-chain-allow-to-open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/Screenshot2025-12-07190723.png?v=1774983496,15,"",,,,,,,,
apple-logo-watch-series-9-matte-with-magnetic-chain-1,Apple logo watch series 9 Matte with Magnetic Chain,"<p> </p>
<h1><strong>Features ⌚️</strong></h1>
<p><strong>𝐀𝐥𝐥 𝐒𝐞𝐧𝐬𝐨𝐫𝐬 𝐖𝐨𝐫𝐤𝐢𝐧𝐠 | 𝐔𝐋𝐓𝐑𝐀 𝐅𝐀𝐒𝐓</strong></p>
<h4><span>➰ AMOLED Display </span></h4>
<h4><span>➰ Curved Display </span></h4>
<h4><span>➰ Apple logo </span></h4>
<h4><span>➰ Series 9 Original Apple Packing</span></h4>
<h4><span>➰ HDR Plus + Display</span></h4>
<h4><span>➰ Uncountable Watch Faces</span></h4>
<h4><span>➰Customize Picture ON Wallpaper</span></h4>
<h4><span>➰ Rise to wake up option</span></h4>
<h4><span>➰ Pure Stainless Steel body </span></h4>
<h4><span>➰ Social apps ..whatsapp , Facebook, Twitter , LinkedIn, Instagram,</span></h4>
<h4><span>➰Calling &amp; SMS features</span></h4>
<h4><span>➰ Exercise Related Features like step count , Calories measuring , Alarm clock, Vibration Mode.</span></h4>
<h4><span>➰ Password Protection (𝙎𝙚𝙘𝙪𝙧𝙞𝙩𝙮 𝙡𝙤𝙘𝙠)</span></h4>
<h4><span>➰ Calculator </span></h4>
<h4><span>➰ Side button, Crown button and Action button precise Working</span></h4>
<h4><span>➰ Standby time: 4 days</span></h4>",Techton,Apparel & Accessories > Jewelry > Smart Watches,Smart Watch,Smartwatch,true,Chain Color,Black,,,,,,,,,0.0,,5000,deny,manual,3899.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/Capture_77e21f03-6adf-4f51-b66f-62426d948e9f.png?v=1773598040,1,"",false,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/Apple-Watch-Series-9-45mm-1.webp?v=1773598039,kg,,,active
apple-logo-watch-series-9-matte-with-magnetic-chain-1,,,,,,,,,Silver,,,,,,,,,0.0,,5000,deny,manual,3899.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/Apple-Watch-Series-9-45mm-1.webp?v=1773598039,2,"",,,,,kg,,,
apple-logo-watch-series-9-matte-with-magnetic-chain-1,,,,,,,,,Rose Gold,,,,,,,,,0.0,,5000,deny,manual,3899.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/ML783_VW_34FRwatch-case-45-stainless-silver-s9-scaled.jpg?v=1773598040,3,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/ML763_VW_34FRwatch-case-45-stainless-gold-s9-scaled.jpg?v=1773598040,kg,,,
apple-logo-watch-series-9-matte-with-magnetic-chain-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/ML763_VW_34FRwatch-case-45-stainless-gold-s9-scaled.jpg?v=1773598040,4,"",,,,,,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,Series 11 Apple Logo Nike Free Loop (Master Replica) Allow To Open Parcel,"<ul>
<li>Sleek, lightweight aluminum body with a vibrant, edge-to-edge AMOLED display.</li>
<li>Available in multiple colors and strap options to suit your style.</li>
<li>5 to 6 days of battery life on a single charge in typical usage mode.</li>
<li>Fast charging support ensures you’re back up and running quickly.</li>
<li>Over 100 sports modes including running, cycling, swimming, and yoga.</li>
<li>Instant notifications for calls, messages, social media, and calendar events.</li>
<li>Built-in AI voice assistant for hands-free commands and smart home control.<strong></strong>
</li>
<li>
<strong>Dimensions</strong>: 46mm case size, 9.7mm thickness</li>
<li>
<strong>Weight</strong>: 38 grams (without strap)</li>
</ul>",techton,Apparel & Accessories > Jewelry > Smart Watches,watch,Smartwatch,true,Nike Strap Color,Navy Blue,,,,,,,,,500.0,shopify,994,deny,manual,5699.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.11PM_2.jpg?v=1773598038,1,"",false,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.11PM_2.jpg?v=1773598038,kg,,,active
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,Green,,,,,,,,,500.0,shopify,1000,deny,manual,5699.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.11PM.jpg?v=1773598038,2,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.11PM.jpg?v=1773598038,kg,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,Black,,,,,,,,,500.0,shopify,1000,deny,manual,5699.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.10PM.jpg?v=1773598038,3,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.10PM.jpg?v=1773598038,kg,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,Grey,,,,,,,,,500.0,shopify,1000,deny,manual,5699.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.10PM_2.jpg?v=1773598038,4,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.10PM_2.jpg?v=1773598038,kg,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,Mix Green,,,,,,,,,500.0,shopify,1000,deny,manual,5699.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.09PM_2.jpg?v=1773598038,5,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.09PM_2.jpg?v=1773598038,kg,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,Mix Blue,,,,,,,,,500.0,shopify,999,deny,manual,5699.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.10PM_1.jpg?v=1773598038,6,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.10PM_1.jpg?v=1773598038,kg,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.11PM_1.jpg?v=1773598038,7,"",,,,,,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.09PM_1.jpg?v=1773598038,8,"",,,,,,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.09PM.jpg?v=1773598038,9,"",,,,,,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.25.08PM.jpg?v=1773598039,10,"",,,,,,,,
series-11-apple-logo-nike-free-loop-master-replica-allow-to-open-parcel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/WhatsAppImage2026-02-11at4.17.37PM_2.jpg?v=1773598038,11,"",,,,,,,,
xt-lock,XT-Lock,<p><span>The XT-Lock watch combines the sleekness of a mechanical and digital dial with the functionality of an alarm and built-in light. This premium quality heavy weight watch is perfect for professionals who value both style and reliability. Experience the best of both worlds with XT-Lock.</span></p>,Armsells.com,,"","",true,Variations,Black Straps,,,,,,,,,0.0,,0,deny,manual,3750.00,5000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/C49DB227-DBD3-4745-9638-984B5EE60A2D.jpg?v=1773598038,1,"",false,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/C49DB227-DBD3-4745-9638-984B5EE60A2D.jpg?v=1773598038,kg,,,active
xt-lock,,,,,,,,,Brown Straps,,,,,,,,,0.0,,0,deny,manual,4250.00,5000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/677104A8-685C-4E73-95CA-0680DAA9C2C5.jpg?v=1773598038,2,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/677104A8-685C-4E73-95CA-0680DAA9C2C5.jpg?v=1773598038,kg,,,
xt-lock,,,,,,,,,Combo of 2,,,,,,,,,0.0,,0,deny,manual,8000.00,10000.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/0436F34D-4216-49F5-8CF1-B959F1C32C5A.jpg?v=1773598037,3,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/0B791697-7564-4222-817B-EA438E17636A.jpg?v=1773598039,kg,,,
xt-lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/7DD6676E-6EDE-43B4-9AC9-9B9914A14E58.jpg?v=1773598038,4,"",,,,,,,,
xt-lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/0B791697-7564-4222-817B-EA438E17636A.jpg?v=1773598039,5,"",,,,,,,,
xt-lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/CDBDFFDB-E3E5-4BBC-ADF4-7305119D1206.jpg?v=1773598038,6,"",,,,,,,,
xt-lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/0AC14575-2861-4A5B-A937-D591434AA8D9.jpg?v=1773598037,7,"",,,,,,,,
xt-lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/6E21DC6F-2478-409F-B999-A2F98D9DD56F.jpg?v=1773598037,8,"",,,,,,,,
xt-lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/0D3CF6A6-425C-49B0-8D10-C93C6042F2F1.jpg?v=1773598037,9,"",,,,,,,,
x10-pro-max-smartwatch-amoled-display,X10 Pro Max Smartwatch AMOLED Display,"<p><span><strong>WATCH FULL REVIEW BEFORE MAKING PURCHASE!!!FEATURES</strong></span></p>
<p><span>✅ BLUTOOTH CALLING </span></p>
<p><span>✅ SOCIAL MEDIA NOTIFICATION</span></p>
<p><span>✅ ALWAYS ON DISPLAY</span></p>
<p><span>✅ HEART RATE MONITORING</span></p>
<p><span>✅ WATER PROOF </span></p>
<p><span>✅ CUSTOMIZED WALLPAPER</span></p>
<p><span>✅ MULTIPLE WATCH FACES</span></p>
<p><span>✅ FITNESS TRACKER </span></p>
<p><span>✅ STEPS COUNT</span></p>",Armsells.com,,Electronics,"",true,Dial color,Silver,,,,,,,,,0.0,,0,deny,manual,3499.00,4500.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/480438463_122207999912239497_5880145927574448392_n_3.jpg?v=1773598036,1,"",false,,,,kg,,,active
x10-pro-max-smartwatch-amoled-display,,,,,,,,,Black,,,,,,,,,0.0,,0,deny,manual,3499.00,4500.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/480227704_122207999996239497_129326130002240217_n.jpg?v=1773598036,2,"",,,,,kg,,,
x10-pro-max-smartwatch-amoled-display,,,,,,,,,Gold,,,,,,,,,0.0,,0,deny,manual,3499.00,4500.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/480263096_122207999960239497_7949242163293253830_n.jpg?v=1773598036,3,"",,,,,kg,,,
x10-pro-max-smartwatch-amoled-display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/480120061_122207999954239497_5770594249038824115_n_1.jpg?v=1773598036,4,"",,,,,,,,
ws-z9-smart-watch,WS-Z9 Smartwatch with CTZN Chain and Silicone Braided Strap,"<h2 style=""text-align: center;"" data-end=""221"" data-start=""201""><strong data-end=""221"" data-start=""205"">Key Features</strong></h2>
<p class="""" data-end=""296"" data-start=""225""><strong data-end=""244"" data-start=""225"">Premium Design:</strong> 47mm stainless steel case with secure strap locks</p>
<p class="""" data-end=""366"" data-start=""299""><strong data-end=""319"" data-start=""299"">Sleek &amp; Elegant:</strong> 3D curved edges for a stylish, modern finish</p>
<p class="""" data-end=""455"" data-start=""369""><strong data-end=""392"" data-start=""369"">Bezel-less Display:</strong> 2.2"" full crystal screen for an immersive viewing experience</p>
<p class="""" data-end=""539"" data-start=""458""><strong data-end=""479"" data-start=""458"">Full HD+ Display:</strong> IPS LCD with 368 × 425 resolution for vivid, sharp images</p>
<p class="""" data-end=""610"" data-start=""542""><strong data-end=""564"" data-start=""542"">60Hz Refresh Rate:</strong> Smooth scrolling and responsive performance</p>
<p class="""" data-end=""706"" data-start=""613""><strong data-end=""640"" data-start=""613"">Customizable Interface:</strong> Choose from 6 unique menu styles and multiple wallpaper options</p>
<p class="""" data-end=""782"" data-start=""709""><strong data-end=""731"" data-start=""709"">Always-On Display:</strong> 10 modes with watch face sync — up to 20 minutes</p>
<p class="""" data-end=""852"" data-start=""785""><strong data-end=""804"" data-start=""785"">Dynamic Island:</strong> Quick access to shortcuts and essential tools</p>
<p class="""" data-end=""933"" data-start=""855""><strong data-end=""877"" data-start=""855"">Bluetooth Calling:</strong> Built-in speaker and mic for hands-free communication</p>
<p class="""" data-end=""1028"" data-start=""936""><strong data-end=""956"" data-start=""936"">Smart Utilities:</strong> Includes calendar, alarm, calculator, sleep tracker, and step counter</p>
<p class="""" data-end=""1119"" data-start=""1031""><strong data-end=""1055"" data-start=""1031"">Smart Notifications:</strong> View social media alerts, group messages, and pop-up previews</p>
<p class="""" data-end=""1181"" data-start=""1122""><strong data-end=""1142"" data-start=""1122"">Voice Assistant:</strong> Fast, responsive smart voice control</p>
<p class="""" data-end=""1265"" data-start=""1184""><strong data-end=""1205"" data-start=""1184"">Fitness Tracking:</strong> Multiple fitness modes for health and activity monitoring</p>
<p class="""" data-end=""1322"" data-start=""1268""><strong data-end=""1284"" data-start=""1268"">NFC Enabled:</strong> Quick and convenient device pairing</p>
<p class="""" data-end=""1384"" data-start=""1325""><strong data-end=""1347"" data-start=""1325"">Wireless Charging:</strong> Supports fast, cable-free charging</p>
<hr class="""" data-end=""1389"" data-start=""1386"">
<h2 data-end=""1423"" data-start=""1391""><strong data-end=""1423"" data-start=""1395"">Technical Specifications</strong></h2>
<p class="""" data-end=""1493"" data-start=""1427""><strong data-end=""1441"" data-start=""1427"">Dial Size:</strong> 47mm stainless steel case with secure strap locks</p>
<p class="""" data-end=""1542"" data-start=""1496""><strong data-end=""1507"" data-start=""1496"">Screen:</strong> 2.2"" Full HD+ bezel-less IPS LCD</p>
<p class="""" data-end=""1579"" data-start=""1545""><strong data-end=""1560"" data-start=""1545"">Resolution:</strong> 368 × 425 pixels</p>
<p class="""" data-end=""1637"" data-start=""1582""><strong data-end=""1599"" data-start=""1582"">Refresh Rate:</strong> 60Hz for a smooth visual experience</p>
<p class="""" data-end=""1704"" data-start=""1640""><strong data-end=""1654"" data-start=""1640"">Processor:</strong> High-frequency chipset for lag-free performance</p>
<p class="""" data-end=""1770"" data-start=""1707""><strong data-end=""1723"" data-start=""1707"">Menu Styles:</strong> 6 layout options for interface customization</p>
<p class="""" data-end=""1847"" data-start=""1773""><strong data-end=""1791"" data-start=""1773"">Display Modes:</strong> 10 always-on display options (syncs with watch faces)</p>
<p class="""" data-end=""1880"" data-start=""1850""><strong data-end=""1871"" data-start=""1850"">Battery Capacity:</strong> 380mAh</p>
<p class="""" data-end=""1964"" data-start=""1883""><strong data-end=""1900"" data-start=""1883"">Battery Life:</strong><br data-end=""1903"" data-start=""1900""> – 1–2 days (normal usage)<br data-end=""1932"" data-start=""1929""> – Up to 4 days (standby mode)</p>
<p class="""" data-end=""2100"" data-start=""1967""><strong data-end=""1988"" data-start=""1967"">Water Resistance:</strong> IPX4 – sweat and splash resistant<br data-end=""2025"" data-start=""2022""> (Avoid submersion or exposure to soap, hand sanitizer, or harsh liquids)</p>
<p class="""" data-end=""2197"" data-start=""2103""><strong data-end=""2116"" data-start=""2103"">Charging:</strong> Wireless charging supported<br data-end=""2147"" data-start=""2144""> (Use included charger with a 5V/1A max adapter)</p>
<p class="""" data-end=""2228"" data-start=""2200""><strong data-end=""2222"" data-start=""2200"">Bluetooth Version:</strong> 5.3</p>
<p class="""" data-end=""2291"" data-start=""2231""><strong data-end=""2249"" data-start=""2231"">Compatibility:</strong> Works with both iOS and Android devices</p>
<p class="""" data-end=""2335"" data-start=""2294""><strong data-end=""2312"" data-start=""2294"">Charging Time:</strong> Approximately 1 hour</p>
<p class="""" data-end=""2382"" data-start=""2338""><strong data-end=""2346"" data-start=""2338"">NFC:</strong> Enabled for seamless connectivity</p>
<h2 data-end=""146"" data-start=""117""><strong data-end=""146"" data-start=""121"">What's Inside the Box?</strong></h2>
<p data-end=""255"" data-start=""148""> 1 × Smartwatch Dial<br data-end=""172"" data-start=""169""> 1 × Wireless Charger<br data-end=""197"" data-start=""194""> 1 × Silicon Strap<br data-end=""219"" data-start=""216""> 1 × CTZN Chain<br data-is-only-node="""" data-end=""238"" data-start=""235""> 1 × User Manual</p>",Armsells.com,,Smart Watch,"",true,color,Black,,,,,,,,,0.0,,0,deny,manual,4850.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/enhanced_image_21.png?v=1773598039,1,"",false,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/enhanced_image_21.png?v=1773598039,kg,,,active
ws-z9-smart-watch,,,,,,,,,Silver,,,,,,,,,0.0,,0,deny,manual,4850.00,0.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/enhanced_image_17.png?v=1773598038,2,"",,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/enhanced_image_16.png?v=1773598040,kg,,,
ws-z9-smart-watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/enhanced_image_16.png?v=1773598040,3,"",,,,,,,,
ws-z9-smart-watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/enhanced_image_19.png?v=1773598039,4,"",,,,,,,,
ws-z9-smart-watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0669/1189/5650/files/enhanced_image_18.png?v=1773598039,5,"",,,,,,,,
